Account,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,PQS_Program,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
311275,0,2500.0,0,600.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,83677.0,5,4,0,0,0,10,6,13,0,2,1,2,107,1,6,7,25,3,15
37067,1,2500.0,1,1200.0,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,252851.0,1,0,1,0,0,40,2,13,0,2,0,2,12,0,0,8,67,1,15
715841,1,2500.0,0,600.0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0,108526.0,5,0,1,0,1,40,2,13,0,2,0,1,51,0,6,8,65,1,15
712722,0,2500.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,15218.0,5,4,0,0,1,37,2,19,0,3,0,39,67,0,6,8,183,3,15
59228,0,0.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,2.0,259.88,0,66175.0,1,0,1,0,0,31,2,15,0,1,0,20,29,0,0,8,2,0,15
39709,1,2430.0,1,1200.0,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,306704.0,3,0,1,1,0,1,2,4,0,2,0,2,77,0,1,3,140,1,15
419484,0,1351.0,1,1200.0,0,0,0,1,1,1,1,1,1,1,1.0,212.84,0,683313.0,5,0,0,0,0,43,2,17,0,2,0,1,71,0,4,8,97,3,15
157575,1,558.0,1,1200.0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,1,276154.0,0,0,1,1,0,25,2,14,0,2,0,1,91,0,4,7,132,1,15
229654,0,2000.0,1,0.0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0,1808.0,5,1,1,0,1,14,2,10,0,0,0,38,74,0,2,8,137,3,15
308999,1,106.27,1,1200.0,0,0,0,0,1,1,1,0,1,0,1.0,139.28,0,136666.0,0,0,1,1,0,18,2,14,0,2,0,37,91,0,1,8,90,1,15
16201,1,2500.0,1,1200.0,0,0,0,0,1,1,0,0,1,0,4.0,1906.61,0,322319.0,5,0,1,0,0,42,2,14,0,2,0,1,37,0,1,7,112,1,15
28701,1,1269.0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,54153.0,5,0,1,0,1,4,6,12,0,3,20,53,102,4,3,7,185,3,1
86945,1,1453.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,3.0,1193.54,0,72255.0,5,0,1,0,0,4,6,12,0,3,0,36,27,0,1,8,185,1,15
612447,0,0.0,1,7529.0,1,1,0,1,1,1,0,0,1,0,3.0,1602.95,0,613721.0,2,2,0,1,0,48,1,10,0,0,0,36,34,0,5,3,93,0,15
129813,0,2500.0,1,2400.0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0,228295.0,5,0,0,0,0,4,2,21,0,3,0,39,85,0,2,3,197,1,1
278358,1,0.0,1,1200.0,0,0,1,0,1,0,1,0,0,0,0.0,0.0,0,126165.0,4,0,1,1,0,26,2,20,0,3,0,39,82,0,1,3,166,0,15
471347,0,1021.0,1,1200.0,1,1,0,0,0,0,0,0,1,1,2.0,1834.01,0,17526.0,5,4,0,0,1,4,6,12,0,3,0,36,39,0,6,8,185,1,15
460137,0,0.0,1,1200.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,60854.0,3,3,1,1,0,38,2,15,0,1,6,22,52,4,3,7,5,0,15
557826,1,0.0,1,1200.0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,110354.0,5,0,1,0,0,23,2,11,0,0,0,39,49,0,3,8,153,1,15
101056,0,0.0,1,943.0,1,1,0,0,1,1,1,0,1,0,2.0,404.8,1,235189.0,0,3,1,1,0,43,2,2,2,2,0,39,15,0,1,3,107,0,15
222539,0,562.0,1,1053.0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0,167490.0,1,0,0,0,0,36,2,17,0,2,16,39,56,3,0,7,120,0,15
643327,0,2500.0,1,1200.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,202085.0,0,3,1,0,0,2,2,17,16,2,0,1,104,0,4,2,130,2,15
333118,0,2000.0,1,1200.0,0,0,1,0,1,0,1,0,1,0,2.0,893.66,0,303930.0,5,0,0,0,0,40,2,13,0,2,0,2,12,0,3,8,67,1,15
316502,0,65.0,1,1200.0,0,0,0,1,1,1,1,0,1,0,5.0,799.98,1,133424.0,5,0,1,0,0,4,6,12,0,3,0,36,27,0,4,3,185,1,15
868969,0,2500.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,36484.0,5,4,0,0,0,22,6,8,0,0,0,22,119,0,6,8,6,1,15
621168,0,0.0,1,170.0,1,1,0,1,1,1,0,0,1,0,7.0,2675.34,0,193689.0,1,1,0,0,0,37,2,19,0,3,0,39,67,0,0,8,183,0,15
206584,0,2000.0,1,1000.0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0,53690.0,1,1,1,0,0,45,2,3,0,1,6,22,103,4,0,7,45,1,15
505591,1,2500.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,204724.0,1,0,1,0,1,29,2,11,0,0,0,36,22,0,0,3,152,3,15
831558,1,0.0,1,3159.0,1,1,0,0,1,1,1,0,1,0,1.0,2084.13,1,184469.0,0,0,1,1,0,24,2,22,0,0,0,1,41,0,1,2,87,0,0
703714,1,2500.0,1,800.0,0,0,1,0,1,0,1,0,1,0,2.0,3703.31,0,390607.0,5,0,1,0,0,42,2,4,0,2,1,2,73,1,1,7,71,1,15
614820,0,2500.0,1,800.0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0,2528613.0,5,4,0,0,0,48,6,10,0,0,0,34,34,0,6,8,93,2,15
635565,1,0.0,1,0.0,1,1,0,1,1,1,1,0,0,0,0.0,0.0,1,229972.0,0,0,1,1,0,12,2,11,0,0,0,38,18,0,3,2,98,1,3
713911,0,2500.0,1,1200.0,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,13200.0,5,0,1,0,0,31,6,15,0,1,9,25,84,4,2,7,2,1,15
800795,0,1447.0,1,1200.0,1,1,0,1,1,1,0,0,1,0,1.0,70.11,0,101064.0,2,2,0,1,0,42,6,14,0,2,0,1,64,0,5,7,111,1,1
903730,1,0.0,1,339.0,1,1,0,0,1,1,0,0,0,0,0.0,0.0,1,67067.0,5,0,1,1,0,10,2,13,0,2,1,1,51,1,1,7,25,0,15
69107,0,0.0,1,1190.0,1,1,0,1,1,1,0,0,0,0,0.0,0.0,0,241829.0,5,1,0,1,0,9,2,24,0,2,0,1,89,0,2,8,60,1,15
224788,0,0.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,1.0,223.12,0,55145.0,5,0,1,0,0,16,2,22,0,0,0,36,31,0,2,8,92,1,15
416273,0,642.0,1,1200.0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,38929.0,5,4,0,0,0,9,6,24,0,2,0,1,32,0,6,8,29,1,15
778912,1,2500.0,1,1000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1467.0,5,3,1,0,0,9,2,24,0,2,1,1,89,1,4,7,60,0,15
168984,0,1303.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,31961.0,5,4,1,0,0,9,2,24,0,2,0,1,58,0,6,8,29,1,15
274917,0,2319.0,1,1200.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,225114.0,5,3,1,1,1,43,2,2,0,2,0,37,15,0,1,3,127,0,15
544417,0,1111.0,1,2184.0,1,1,0,0,1,1,1,0,1,0,7.0,2000.73,1,431554.0,0,3,1,1,0,9,2,24,0,2,0,1,89,0,4,2,60,1,15
179503,0,1186.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15341.0,5,4,0,0,0,9,6,24,0,2,9,1,105,1,6,7,68,3,15
500330,1,0.0,1,0.0,1,1,0,0,1,1,1,0,1,0,4.0,1056.42,1,226635.0,0,0,1,1,0,24,2,14,0,2,0,1,37,0,1,2,112,1,3
98848,1,0.0,1,1040.0,1,1,0,1,1,1,1,0,1,0,2.0,235.74,1,239776.0,0,0,1,1,0,25,2,14,0,2,0,37,91,0,1,2,151,1,0
268877,0,2500.0,1,1200.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,232282.0,5,4,0,0,0,10,2,4,0,2,0,2,44,0,6,7,26,1,15
250205,0,2000.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,212581.0,5,4,0,0,0,4,6,12,0,3,0,36,102,0,6,3,193,3,15
424534,0,1555.0,1,1200.0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,167385.0,1,0,0,0,0,17,2,22,0,0,0,7,78,0,0,8,119,1,2
728949,0,2500.0,1,0.0,1,1,0,0,0,0,1,0,1,0,3.0,637.39,0,191579.0,5,0,0,0,0,35,2,25,0,1,0,34,70,0,1,8,11,1,15
699542,0,646.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,2.0,346.4,0,180024.0,0,3,1,0,0,22,6,11,0,0,9,37,110,4,4,7,134,0,15
15610,1,0.0,1,0.0,1,1,0,1,1,1,1,0,1,0,2.0,2292.84,0,387165.0,5,0,1,1,0,12,2,11,0,0,0,38,18,0,3,3,98,1,1
417023,0,2500.0,1,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,164669.0,5,4,0,0,0,17,4,16,0,0,0,7,106,0,6,8,42,3,1
761095,0,923.0,0,1200.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,11695.0,5,0,1,0,1,42,2,14,0,2,1,1,21,1,1,7,126,1,15
425708,0,0.0,1,538.0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,0,67582.0,1,0,1,1,0,26,2,20,0,3,0,39,82,0,0,3,173,1,15
712164,0,0.0,0,1200.0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0,1995912.0,5,0,1,0,1,44,6,20,0,3,0,37,79,0,1,8,177,5,15
577176,0,2500.0,1,1200.0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0,350.0,5,1,1,0,1,34,6,15,0,1,0,21,48,0,2,8,2,1,15
2352,1,0.0,1,1200.0,0,0,0,0,1,1,1,0,0,1,0.0,0.0,1,199421.0,0,0,1,1,0,47,2,5,0,3,0,38,30,0,1,2,200,0,15
233636,1,0.0,1,0.0,1,1,0,1,1,1,1,0,1,0,3.0,429.95,1,69202.0,0,0,1,1,0,16,2,22,0,0,0,38,31,0,1,2,85,1,15
492442,0,2500.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,59915.0,5,4,0,0,0,41,3,11,0,0,0,38,10,0,6,8,154,3,15
227013,1,2500.0,1,1200.0,0,0,0,0,1,0,1,0,1,0,1.0,2126.66,0,197131.0,5,0,1,0,0,24,6,22,0,0,0,33,31,0,1,3,95,1,3
279798,0,2075.0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,164397.0,5,0,1,0,0,15,2,22,0,0,0,7,78,0,1,3,119,3,15
765744,0,249.0,1,0.0,0,0,0,1,1,1,1,0,0,1,0.0,0.0,0,161522.0,5,0,1,1,0,1,2,4,0,2,1,1,13,1,1,7,143,3,15
87510,1,0.0,1,1128.0,1,1,0,1,1,1,0,0,0,0,0.0,0.0,0,88643.0,5,3,1,1,0,38,2,15,0,1,0,37,52,0,4,3,5,1,3
981296,0,0.0,1,0.0,1,1,0,0,1,1,1,0,0,0,0.0,0.0,0,383091.0,0,3,1,1,0,14,2,10,0,0,0,51,34,0,4,2,88,0,15
73478,1,69.0,1,1040.0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,1,382113.0,5,0,1,0,0,25,0,14,0,2,0,1,91,0,3,8,151,1,15
471830,0,1141.0,1,400.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,318916.0,5,4,0,0,0,4,6,12,0,3,24,36,39,4,6,7,185,2,15
567872,1,1140.25,1,2400.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,2657128.0,3,3,1,1,0,34,2,15,2,1,0,14,92,0,4,3,2,1,3
242289,0,0.0,0,1200.0,0,0,0,1,1,1,0,0,0,1,0.0,0.0,0,70908.0,1,1,0,1,0,13,2,19,0,3,0,39,30,0,0,8,200,0,15
746525,0,2500.0,0,1400.0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0,39315.0,5,4,0,0,1,4,2,12,0,3,0,39,118,0,6,8,185,3,15
25114,1,811.0,1,1200.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,283502.0,5,0,1,1,1,4,2,21,0,3,9,39,85,4,3,7,197,1,15
768452,1,2500.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,913834.0,1,1,0,0,0,9,6,24,0,2,0,1,58,0,0,3,29,3,15
352083,0,1064.0,1,1200.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,24238.0,1,1,1,0,1,43,4,17,0,2,0,1,71,0,0,8,97,1,15
31110,1,2385.0,1,1200.0,0,0,0,0,1,0,0,0,1,0,1.0,1619.18,0,596117.0,5,0,1,0,0,10,2,13,0,2,1,2,107,1,1,7,25,1,15
783807,0,572.0,1,1200.0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,115477.0,0,3,0,1,0,12,2,10,16,0,1,1,45,1,1,7,137,0,15
219375,1,2500.0,1,0.0,0,0,0,0,0,0,1,0,1,0,1.0,958.93,0,389103.0,1,0,1,0,0,43,2,2,0,2,22,17,7,4,0,7,94,3,15
415142,0,1975.0,1,1200.0,0,0,0,0,1,0,1,0,1,0,1.0,164.27,0,107368.0,1,0,1,0,0,17,2,22,0,0,0,7,78,0,0,2,104,1,15
775964,1,1460.0,1,1200.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,82078.0,1,0,1,1,0,14,6,10,0,0,0,37,88,0,0,3,82,5,15
649709,1,0.0,1,0.0,1,1,0,0,1,1,1,0,1,1,1.0,167.4,0,64770.0,5,3,1,0,0,1,2,4,0,2,1,1,77,1,1,7,102,1,15
458481,0,2380.0,1,1200.0,0,0,0,0,1,1,0,0,1,0,1.0,88.61,0,76895.0,2,2,0,0,0,22,6,8,0,0,0,27,20,0,5,8,6,1,15
182853,0,2000.0,1,0.0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,85193.0,2,2,0,0,0,22,6,8,0,0,0,22,2,0,5,8,6,3,15
700387,0,2500.0,0,0.0,0,0,1,0,0,0,0,0,1,0,1.0,529.23,0,20368.0,5,4,0,0,1,18,6,2,0,2,0,34,14,0,6,8,96,3,15
638321,0,2000.0,1,1200.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,94688.0,5,4,0,0,0,36,4,17,0,2,16,34,40,3,6,7,106,2,15
534191,0,0.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1,982.0,2,2,0,0,0,43,6,2,0,2,7,37,7,4,5,8,94,0,15
87882,1,0.0,1,830.0,1,1,0,1,1,1,1,0,1,0,5.0,2656.27,1,1120412.0,0,0,0,1,0,42,2,14,0,2,0,1,64,0,3,2,112,1,15
307848,1,0.0,1,1200.0,0,1,0,1,1,1,1,0,0,0,0.0,0.0,0,68462.0,3,0,1,1,0,14,2,10,0,0,0,38,88,0,1,2,137,1,15
763692,1,0.0,1,1200.0,0,0,0,1,1,1,1,0,0,1,0.0,0.0,0,214067.0,5,0,1,1,0,1,2,4,0,2,0,1,13,0,4,7,143,1,15
482350,0,0.0,1,1200.0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,15033.0,0,0,1,1,0,22,2,8,0,0,0,37,61,0,1,3,14,0,15
250113,1,2120.0,1,0.0,1,1,0,0,1,1,1,0,1,0,2.0,2292.57,1,335679.0,5,0,1,1,0,19,2,0,0,1,0,37,63,0,1,3,7,1,15
409433,1,0.0,1,470.0,1,1,1,1,1,1,0,0,1,0,1.0,1609.88,1,110902.0,0,3,1,1,0,28,2,11,0,0,4,38,10,4,4,2,153,0,0
171690,0,2500.0,1,1200.0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,32994.0,1,1,0,0,0,22,6,8,0,0,0,37,119,0,0,8,6,2,15
638328,0,421.0,1,1200.0,0,0,0,0,1,0,0,0,1,0,1.0,535.63,0,58140.0,5,4,1,0,0,34,2,15,0,1,6,26,92,4,6,7,2,0,15
