Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
89668,30106,735388,30,0,0,217.0,1,12000.0,0,0,0,0,735669,1,736619,735722,1,1,0,0,0,0.0,0.0,0,33851.0,20195.0,2048.0,9078.0,2531.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,0,2,0,17,36,23,107,0,4,8,25,2,18,15
90050,30040,732556,30,1,1,0.0,1,1200.0,0,1,0,0,735374,1,736461,735380,1,1,0,1,0,2.0,1986.37,0,875882.0,657535.0,35756.0,147757.0,34833.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,0,2,23,107,0,3,3,25,1,18,15
93617,30153,733442,30,1,1,0.0,1,2400.0,0,0,0,1,720624,1,736619,735331,1,1,0,0,0,0.0,0.0,1,266432.0,190203.0,7823.0,60182.0,8224.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,0,17,39,23,107,0,1,3,25,0,18,15
115704,30046,735388,30,0,0,0.0,1,12000.0,0,0,0,1,735669,1,736619,735722,1,1,0,0,0,0.0,0.0,0,43674.0,27211.0,2137.0,11581.0,2745.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,0,2,0,17,36,23,107,0,4,8,25,1,18,15
175869,30019,732288,30,1,1,0.0,1,1200.0,0,0,0,1,735927,1,736082,735940,1,1,0,0,0,0.0,0.0,1,40052.0,25458.0,829.0,9197.0,4568.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,0,17,37,23,107,0,3,3,25,0,18,15
190041,30281,736425,30,0,0,2000.0,1,600.0,0,0,0,0,720624,1,720624,736577,0,1,0,0,0,0.0,0.0,0,105136.0,76620.0,1609.0,22836.0,4072.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,0,1,23,107,0,6,8,25,1,18,15
191031,30506,734521,30,0,1,2042.0,0,0.0,0,0,0,0,720624,1,736466,735402,1,0,0,1,0,1.0,218.66,0,134461.0,102244.0,2478.0,26196.0,3543.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0,10,2,13,0,2,0,0,2,23,107,0,1,8,25,3,18,15
198866,30078,735488,30,0,0,295.0,1,1101.0,1,1,0,0,735553,1,736495,735561,0,0,0,0,0,0.0,0.0,0,58763.0,38444.0,728.0,16647.0,2943.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,10,2,13,0,2,1,0,1,23,107,1,6,7,25,1,18,15
203206,30084,735144,30,1,0,0.0,1,2330.0,1,1,0,0,720624,1,736624,735624,0,1,0,1,0,1.0,167.4,1,117034.0,74024.0,2159.0,31973.0,8878.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,3,13,0,2,13,0,2,23,107,1,4,7,25,0,18,15
217643,30605,734420,30,1,1,761.0,1,1200.0,1,1,0,0,735347,1,736627,735331,1,1,0,1,0,2.0,990.78,0,112886.0,75759.0,1375.0,31016.0,4736.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,6,13,0,2,1,0,2,5,107,1,1,7,25,1,18,15
