Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
36336,15,56519.0,42,106,17,1,1200.0
638329,15,41125.0,185,118,4,36,400.0
638328,15,58140.0,2,92,34,26,1200.0
716262,13,286978.0,35,32,9,0,400.0
531336,15,117148.0,2,48,34,26,0.0
558027,15,28325.0,5,52,38,25,400.0
646982,15,35879.0,94,7,43,37,1200.0
190041,15,105136.0,25,107,10,1,600.0
770338,15,144333.0,23,44,1,1,1200.0
67660,1,238516.0,149,14,25,37,1200.0
185479,15,1851.0,185,39,4,36,1200.0
558084,1,54973.0,159,24,11,39,1200.0
55235,15,175926.0,113,15,43,1,1200.0
287774,15,216837.0,5,26,31,39,0.0
484053,15,358736.0,48,2,35,36,2233.0
644743,15,65308.0,2,111,6,37,1200.0
767903,15,0.0,93,62,48,33,0.0
867725,15,170396.0,191,83,47,39,1200.0
193392,15,159344.0,62,72,35,1,644.0
180243,15,231933.0,2,111,6,34,1200.0
203206,15,117034.0,25,107,10,2,2330.0
169853,15,69707.0,6,61,22,23,5928.0
4175,15,15528.0,94,7,43,37,1200.0
387008,15,92499.0,8,94,10,39,2358.0
533443,15,28381.0,2,52,34,19,400.0
436768,0,286812.0,21,51,40,11,1200.0
120942,15,770552.0,118,60,14,38,0.0
476163,15,295441.0,47,12,40,2,831.0
206787,15,282861.0,97,95,43,36,1200.0
35352,15,274910.0,137,74,12,34,874.0
172012,15,53801.0,14,108,22,22,0.0
478986,1,307244.0,111,64,42,1,950.0
144194,15,28202.0,82,88,14,39,0.0
500403,15,214417.0,120,56,36,39,1200.0
436180,2,161045.0,119,78,17,7,4800.0
311275,15,83677.0,25,107,10,2,600.0
500325,15,83644.0,177,90,44,38,4856.0
281303,9,243629.0,9,53,38,39,1200.0
297889,15,111552.0,94,7,43,37,0.0
746517,15,259492.0,47,51,40,2,831.0
886974,15,90344.0,6,8,22,36,1200.0
222204,15,197422.0,173,82,26,38,945.0
930685,15,223136.0,36,72,35,1,1058.0
66860,15,391797.0,101,91,18,39,1200.0
31700,15,18138.0,25,93,10,2,8000.0
14501,15,211550.0,108,57,43,1,0.0
812621,15,453219.0,6,20,22,36,1200.0
256023,15,277350.0,182,27,4,39,1200.0
446316,15,107460.0,80,53,49,36,2389.0
424384,15,197057.0,97,95,43,36,1183.0
756993,1,34364.0,154,10,41,39,8912.0
874313,15,69303.0,41,122,22,38,0.0
312387,15,241552.0,5,26,31,39,0.0
60902,15,75969.0,106,40,43,34,0.0
118931,15,117184.0,6,8,22,36,0.0
158039,15,158890.0,65,51,40,2,1200.0
10024,15,335279.0,28,96,15,6,1200.0
743824,15,59477.0,152,45,29,38,7050.0
864769,1,123138.0,13,103,20,22,0.0
67976,15,142166.0,2,84,31,20,1200.0
534260,15,96187.0,2,19,31,25,1200.0
483342,15,66447.0,6,119,22,36,600.0
897399,1,242973.0,49,32,9,1,0.0
508895,15,77091.0,9,53,38,37,1200.0
392364,15,1323728.0,2,84,31,25,1200.0
848128,15,245644.0,118,60,14,38,20164.0
540716,2,176425.0,66,46,45,39,1200.0
172173,15,19098.0,6,8,22,36,1200.0
500727,15,844077.0,20,12,40,1,0.0
803611,15,65747.0,2,84,34,25,0.0
762218,15,334457.0,140,35,1,1,1200.0
649555,15,35024.0,185,4,4,36,1200.0
713369,15,87121.0,120,87,36,34,1000.0
73719,15,177840.0,6,8,22,36,1200.0
956926,15,25115.0,185,27,4,36,0.0
7032,15,229722.0,102,23,1,1,1190.0
166021,15,184528.0,26,94,10,2,1200.0
473428,15,92707.0,135,54,16,37,1200.0
68308,15,3637.0,6,61,22,39,1200.0
672645,1,163471.0,185,4,4,36,1200.0
328958,15,254887.0,142,104,2,1,1200.0
347394,15,45628.0,60,89,9,12,0.0
789331,15,381180.0,6,119,22,36,1200.0
319942,3,90946.0,197,85,4,39,0.0
646974,15,169261.0,131,6,36,34,1200.0
178285,15,343300.0,124,56,36,39,0.0
557936,15,175153.0,2,111,6,34,1346.0
22436,15,340894.0,79,53,49,36,1150.0
418972,15,74619.0,165,50,3,37,970.0
422389,15,8741.0,16,96,35,6,0.0
247517,15,210063.0,26,44,10,2,1200.0
872350,15,97028.0,6,8,22,37,1200.0
725557,15,62281.0,6,2,22,36,1400.0
274385,15,171469.0,94,7,43,1,0.0
890816,15,131586.0,111,37,42,1,1200.0
701514,15,17844.0,2,48,34,24,0.0
558203,15,52361.0,97,71,43,51,1200.0
380977,1,193204.0,200,30,47,39,1200.0
720268,15,155165.0,42,106,17,38,1200.0
417131,15,152920.0,62,106,17,7,0.0
417666,15,87477.0,62,112,49,7,1200.0
29613,15,464993.0,185,39,4,37,1200.0
18956,15,117027.0,102,35,1,1,2400.0
473944,3,108631.0,174,114,41,36,3600.0
212115,15,221540.0,18,25,40,11,1200.0
306225,6,349344.0,25,107,10,1,1200.0
64766,3,183873.0,15,113,38,37,5383.0
712875,15,146667.0,47,51,40,2,685.0
418740,1,495075.0,32,106,17,7,3158.0
630562,1,97938.0,33,9,34,22,1200.0
176446,15,238792.0,153,10,28,38,967.0
610938,15,44063.0,165,50,3,37,0.0
737011,0,56640.0,132,91,25,1,1200.0
17394,15,141785.0,35,116,9,1,1200.0
343985,15,101583.0,2,111,34,34,1346.0
656908,15,60030.0,34,111,6,34,1200.0
649611,15,296280.0,2,92,34,36,0.0
712873,15,494092.0,71,77,10,2,1000.0
536663,15,135471.0,2,84,31,20,0.0
774207,15,149754.0,94,7,43,2,1400.0
558819,15,153459.0,25,93,10,1,1200.0
557212,15,89374.0,185,4,4,38,0.0
557828,15,325.0,118,60,14,38,7400.0
58388,15,63691.0,153,49,23,38,1193.0
829658,15,156983.0,106,40,43,38,0.0
544335,15,93911.0,98,18,29,36,997.0
17730,15,171777.0,6,20,22,27,1200.0
465082,15,179817.0,82,88,15,38,2400.0
395469,15,41785.0,82,88,14,39,1200.0
127613,1,209840.0,193,102,4,39,1200.0
769755,15,63497.0,191,83,47,36,0.0
16659,1,119788.0,184,42,4,38,784.0
107745,15,242912.0,192,67,37,29,1200.0
712593,15,69653.0,85,22,16,36,0.0
499495,15,217599.0,177,90,44,38,4856.0
763215,1,115223.0,25,93,10,1,1200.0
24386,15,121860.0,95,41,24,37,1142.0
19582,1,53754.0,104,78,17,37,1200.0
649437,15,64513.0,6,119,22,36,1200.0
766159,15,174730.0,126,35,42,1,1200.0
936120,15,265031.0,34,11,6,34,470.0
548368,15,235939.0,102,99,1,1,1200.0
127670,15,100990.0,164,55,5,37,1200.0
25181,15,159262.0,113,15,43,1,0.0
739256,15,174625.0,126,21,42,1,1200.0
769742,15,22517.0,6,61,22,37,1000.0
558109,15,350.0,120,87,36,34,1200.0
562781,15,93140.0,60,89,9,37,0.0
227950,1,624225.0,34,111,6,33,26.0
548071,15,145257.0,138,98,1,1,1200.0
766095,15,260954.0,102,38,1,1,150.0
242436,15,337192.0,177,90,44,38,4856.0
181758,15,237100.0,97,71,43,51,1190.0
646957,15,10297.0,29,32,9,38,1200.0
414769,15,44629.0,16,96,35,6,1200.0
518910,15,58358.0,1,5,21,37,1200.0
471830,15,318916.0,185,39,4,36,400.0
544325,2,621408.0,98,22,29,36,16598.0
82236,15,152400.0,94,122,43,1,0.0
649763,15,187965.0,185,39,4,36,1200.0
865338,15,94200.0,34,111,6,37,0.0
307787,15,187711.0,2,19,34,25,811.0
63447,15,255367.0,132,77,25,1,1045.0
256345,15,470758.0,185,4,4,1,0.0
234180,15,60579.0,185,120,4,36,1200.0
145081,15,267316.0,131,6,36,1,0.0
551507,15,158851.0,18,25,27,38,0.0
213769,1,536315.0,196,0,4,38,0.0
746265,15,60797.0,113,15,43,25,0.0
25585,15,254378.0,177,90,44,39,600.0
159662,15,269439.0,140,23,1,1,1200.0
773569,15,-5520.0,25,23,10,2,1200.0
214403,15,175561.0,177,79,44,38,0.0
413749,15,5808.0,30,109,17,6,0.0
474413,15,271197.0,2,92,34,26,0.0
801249,15,342481.0,2,111,34,20,0.0
152674,15,167275.0,6,8,22,36,800.0
986685,15,318024.0,30,109,17,1,1200.0
558256,15,390575.0,102,38,1,2,1200.0
827565,15,121248.0,124,71,43,1,2006.0
