,Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
4401,940106,735613,1,136.0,1,1200.0,0,0,0,0,735758,1,720624,735807,1,1,0,0,0,0.0,0.0,0,186088.0,5,0,1,0,0,6,4,23,0,1,0,33,111,0,3,3,34,1,15
4402,956663,735339,1,0.0,1,1150.0,1,1,0,1,735362,1,736627,735374,1,1,0,0,0,0.0,0.0,1,504567.0,5,0,1,0,0,6,2,23,0,1,0,34,111,0,1,2,2,1,15
4403,975027,736482,0,2500.0,1,200.0,0,0,0,0,720624,1,736595,736263,0,1,0,0,0,0.0,0.0,0,268138.0,5,0,1,0,0,6,2,23,0,1,0,37,111,0,6,1,2,1,15
4404,13666,735591,1,1228.0,0,1200.0,0,0,0,0,720624,1,720624,735466,0,1,0,0,0,0.0,0.0,0,194059.0,5,0,1,0,0,49,2,16,0,0,6,22,112,4,4,7,62,0,15
4405,19055,736311,0,2000.0,0,1000.0,0,0,0,0,720624,0,720624,735466,0,1,0,0,0,0.0,0.0,0,85422.0,5,0,0,0,0,49,6,16,0,0,6,22,112,4,2,7,62,1,15
4406,319942,735940,0,2500.0,0,0.0,0,0,0,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,90946.0,1,1,1,0,1,4,6,21,0,3,20,39,85,4,0,7,197,3,3
4407,78390,735026,0,0.0,1,0.0,0,0,0,0,735795,1,736558,735807,0,0,0,0,0,0.0,0.0,0,274274.0,5,0,1,1,0,49,2,16,0,0,0,6,112,0,4,3,62,3,15
4408,180558,735563,0,1429.0,1,3470.0,1,1,0,0,720624,1,736565,735610,1,1,0,1,0,2.0,304.81,0,534240.0,1,0,1,0,0,49,6,16,0,0,0,22,112,0,0,3,58,1,15
4409,557645,735880,0,0.0,1,2382.0,1,1,0,0,736305,1,736602,736066,0,1,0,0,0,0.0,0.0,0,89677.0,5,0,1,0,0,4,4,21,0,3,12,39,85,4,3,7,197,1,0
4410,350998,735892,0,2500.0,0,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,124704.0,2,2,0,0,1,49,4,16,0,0,0,7,112,0,5,8,79,3,15
4411,365660,735578,1,2000.0,1,3470.0,1,1,0,0,720624,1,736565,735610,1,1,0,0,0,0.0,0.0,0,202161.0,1,0,1,0,0,49,6,16,0,0,0,22,112,0,0,3,58,1,15
4412,614336,736353,0,491.0,1,522.0,1,1,0,0,736354,1,736448,736374,0,1,0,0,1,0.0,0.0,0,105473.0,5,0,1,0,0,4,2,21,0,3,0,37,85,0,4,8,197,1,5
4413,403228,735563,1,2500.0,1,3470.0,1,1,0,0,720624,1,736565,735473,1,1,0,0,0,0.0,0.0,0,97701.0,5,0,1,0,0,49,0,16,0,0,6,22,112,4,2,7,58,1,15
4414,416700,735831,1,2500.0,1,869.0,1,1,0,0,736376,1,736620,735561,0,1,0,0,0,0.0,0.0,0,281582.0,5,0,1,0,0,49,2,16,0,0,0,7,112,0,4,2,62,1,15
4415,417666,735851,1,2500.0,1,1200.0,0,0,0,0,720624,0,736466,720624,0,1,0,0,0,0.0,0.0,0,87477.0,1,1,1,0,1,49,2,16,0,0,0,7,112,0,0,8,62,1,15
4416,417828,735859,0,2500.0,1,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,124067.0,1,0,1,0,1,49,2,16,0,0,0,7,112,0,0,8,62,3,15
4417,418741,735845,1,626.0,1,1200.0,0,0,0,0,736189,1,736343,735578,0,1,0,0,0,0.0,0.0,0,113217.0,5,0,1,0,0,49,2,3,0,1,0,6,112,0,1,8,58,0,15
4418,429850,735948,0,2500.0,1,1190.0,1,1,0,0,736001,1,736625,736023,0,1,0,1,0,4.0,925.7,0,201766.0,5,0,0,0,0,49,2,16,0,0,0,34,112,0,4,3,58,1,15
4419,430869,736117,0,2000.0,0,1200.0,0,0,0,0,736491,1,720624,736535,0,1,0,1,0,2.0,256.36,0,208039.0,1,1,0,0,0,49,2,16,0,0,0,6,112,0,0,2,58,1,15
4420,460342,733545,1,0.0,1,1049.0,1,0,0,1,720624,1,736623,735436,1,1,0,1,0,1.0,278.28,1,236139.0,0,0,1,1,0,17,6,16,0,0,0,1,112,0,2,3,62,1,15
4421,490845,735139,1,2500.0,0,0.0,0,0,0,0,720624,0,736529,735488,0,1,0,1,0,2.0,750.38,0,103463.0,5,0,1,0,0,45,2,3,0,1,0,1,112,0,4,7,32,3,15
4422,570834,735375,0,2500.0,1,3470.0,1,1,0,0,735491,1,736565,735610,1,1,0,0,0,0.0,0.0,0,86786.0,5,0,1,0,0,49,0,16,0,0,0,22,112,0,4,3,58,1,15
4423,982310,734128,0,0.0,1,1200.0,0,0,0,0,735318,1,736620,735437,1,1,0,0,0,0.0,0.0,0,296294.0,0,0,0,1,0,4,2,21,0,3,0,38,85,0,2,3,197,1,2
4424,59088,734793,1,825.0,1,1200.0,0,0,0,0,720624,1,720624,735436,0,0,0,1,0,1.0,223.12,0,25565.0,5,3,1,1,0,5,2,7,0,3,0,37,86,0,1,3,163,1,0
4425,691348,733567,1,1570.0,1,1116.0,1,1,0,1,735529,1,736517,735540,1,1,0,0,0,0.0,0.0,1,266822.0,0,3,1,1,0,45,2,16,0,0,0,1,112,0,4,3,32,1,15
4426,691542,732947,0,0.0,1,210.0,1,1,0,1,720624,0,736578,735488,1,1,0,1,0,4.0,2605.44,1,124300.0,0,0,1,1,0,49,2,16,0,0,1,1,112,1,4,7,58,1,15
