Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
557816,736110,0,2000.0,1,1200.0,0,0,0,0,720624,0,736347,736067,0,0,0,0,0,0.0,0.0,0,1393794.0,5,4,0,0,0,1,6,4,0,2,1,1,77,1,6,7,140,2,15
624097,736206,1,2500.0,1,0.0,1,1,0,0,736206,1,736499,736374,0,0,0,0,0,0.0,0.0,0,304004.0,5,4,1,0,0,1,6,4,1,2,0,1,77,0,6,8,140,1,15
646984,732432,0,0.0,1,0.0,1,1,0,0,720624,1,736615,734744,1,0,0,1,0,1.0,69.21,0,549085.0,5,0,1,1,0,1,2,4,2,2,0,2,77,0,1,3,140,1,15
649703,736335,1,2000.0,1,0.0,0,0,0,0,736383,1,720624,736383,0,0,0,0,0,0.0,0.0,0,51233.0,5,4,0,0,0,1,2,4,0,2,1,1,77,1,6,7,140,3,15
649709,736360,1,0.0,1,0.0,1,1,0,0,736382,1,736613,736374,1,1,0,1,1,1.0,167.4,0,64770.0,5,3,1,0,0,1,2,4,0,2,1,1,77,1,1,7,102,1,15
677551,733476,1,0.0,1,1200.0,0,1,0,0,720624,0,736585,735488,1,1,0,1,0,3.0,2277.94,0,384119.0,0,0,1,1,0,1,2,4,1,2,1,2,77,1,3,7,140,1,15
681530,734597,1,0.0,1,0.0,1,1,0,0,720624,0,720624,735488,1,1,0,0,0,0.0,0.0,0,81816.0,5,3,1,1,0,1,6,4,0,2,1,1,77,1,4,7,140,0,15
712873,736430,0,2000.0,0,1000.0,0,0,0,0,720624,0,735731,735488,1,1,0,0,0,0.0,0.0,0,494092.0,5,3,0,0,0,10,2,4,0,2,0,2,77,0,1,7,71,0,15
714283,736501,1,2500.0,1,1200.0,0,0,0,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,24391.0,5,4,1,0,1,1,2,4,0,2,1,1,77,1,6,7,102,0,15
714499,736579,1,2500.0,0,1400.0,0,0,1,0,736608,0,720624,720624,0,0,0,0,0,0.0,0.0,0,71974.0,5,4,1,0,1,1,2,4,0,2,0,1,77,0,6,7,140,0,15
762280,733524,0,0.0,1,0.0,1,1,0,1,720624,0,736537,735488,1,0,0,0,1,0.0,0.0,0,122240.0,2,2,1,0,0,1,2,4,0,2,1,1,77,1,5,7,140,0,15
762869,733547,1,0.0,1,0.0,1,1,0,0,720624,0,736597,735488,0,0,0,0,0,0.0,0.0,1,231236.0,5,0,1,1,0,1,6,4,0,2,1,1,77,1,4,7,140,0,15
764679,733524,1,0.0,1,0.0,1,1,0,1,735304,1,736619,735331,1,1,0,1,1,1.0,926.24,0,338317.0,0,1,1,1,0,1,2,4,0,2,0,2,77,0,2,7,140,0,15
765971,733524,1,546.0,1,0.0,1,1,0,1,720624,1,736612,735367,1,1,0,0,0,0.0,0.0,1,402346.0,0,3,1,0,0,1,6,4,1,2,0,2,77,0,1,7,140,0,15
766534,735261,0,817.0,1,1000.0,0,1,0,1,735368,1,736623,735380,1,1,0,1,0,1.0,168.28,0,144682.0,3,1,0,0,0,1,6,4,1,2,0,1,77,0,2,7,102,0,15
767439,733545,1,2390.0,1,1200.0,0,0,0,0,735388,1,736433,735488,1,1,0,1,0,1.0,926.24,0,383906.0,5,0,1,1,0,1,6,4,0,2,1,1,77,1,4,7,140,1,15
767859,736612,0,2500.0,0,0.0,0,0,1,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,38141.0,5,4,0,0,1,1,2,4,0,2,0,2,77,0,6,8,140,1,15
