,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
4641,15,20203.0,195,117,33,37,251.0
1979,15,142653.0,2,52,34,21,0.0
607,1,72218.0,95,41,24,1,200.0
3098,15,103622.0,2,84,31,20,1200.0
998,15,295874.0,5,26,38,34,800.0
624,15,26471.0,96,14,18,1,1400.0
4581,0,314188.0,200,115,13,39,1190.0
3499,15,67165.0,2,92,34,21,1174.0
4817,15,361367.0,185,120,4,36,1200.0
3793,15,101526.0,102,99,1,1,0.0
358,1,26131.0,174,10,41,39,8912.0
4034,15,421150.0,40,105,9,1,660.0
283,15,202322.0,6,8,22,22,0.0
770,15,101236.0,2,19,34,20,0.0
2234,15,50543.0,29,58,9,38,0.0
2323,15,232408.0,74,60,15,1,460.0
2206,15,596320.0,108,57,43,2,927.0
3418,1,43115.0,8,94,10,2,7200.0
3198,1,39643.0,120,87,36,34,0.0
2263,15,261115.0,29,58,9,1,1200.0
2208,2,91317.0,20,12,40,2,1200.0
3714,15,73673.0,185,97,4,36,0.0
1868,1,1767131.0,13,36,20,27,1200.0
541,15,406490.0,47,12,40,2,0.0
1078,15,40744.0,2,29,31,19,1200.0
3928,5,179531.0,199,42,4,37,2400.0
2724,15,14458.0,97,71,43,1,1200.0
3538,15,91516.0,25,93,10,37,0.0
294,15,101347.0,6,8,22,36,0.0
161,15,402884.0,120,6,36,39,1200.0
3531,15,282084.0,25,93,10,36,0.0
2229,15,117924.0,108,57,43,37,1200.0
3862,5,335942.0,200,30,47,38,3353.0
4320,1,124901.0,187,85,4,39,1183.0
1564,15,38177.0,185,39,4,52,1000.0
1556,15,13874.0,185,39,4,36,1200.0
2324,1,238516.0,149,14,25,37,1200.0
1507,15,276318.0,148,38,1,2,1200.0
1346,15,170360.0,102,35,1,1,1200.0
100,15,170538.0,185,4,4,36,0.0
694,15,254728.0,2,16,34,20,773.0
1439,15,165063.0,111,37,42,1,1200.0
2935,15,1393794.0,140,77,1,1,1200.0
2445,15,33776.0,132,64,25,1,1200.0
2216,15,297383.0,108,57,43,1,0.0
4634,15,194719.0,195,117,33,36,1200.0
1224,15,35677.0,49,32,9,1,0.0
966,15,145325.0,18,25,27,11,1200.0
4404,15,194059.0,62,112,49,22,1200.0
3522,15,209567.0,25,93,10,1,1200.0
4480,1,54153.0,185,102,4,53,0.0
1908,15,1729760.0,165,50,3,40,0.0
989,15,634359.0,5,26,38,34,0.0
3020,15,50549.0,195,79,33,38,1200.0
2834,15,0.0,32,73,42,1,0.0
2940,15,384119.0,140,77,1,2,1200.0
187,15,69479.0,131,6,36,40,800.0
1202,15,159307.0,29,32,9,1,0.0
4417,15,113217.0,58,112,49,6,1200.0
3328,15,122005.0,60,89,9,1,0.0
797,15,161311.0,6,20,22,36,2400.0
3693,15,15389.0,185,97,4,37,1200.0
251,15,145913.0,6,8,22,22,1200.0
4666,15,67530.0,185,118,4,36,1200.0
4363,15,76434.0,2,111,31,20,2200.0
2512,15,195820.0,91,66,48,40,1200.0
1577,15,263666.0,128,40,43,1,1200.0
3337,15,501473.0,123,89,9,2,903.0
765,15,198594.0,2,19,31,20,7.0
3863,15,57196.0,87,101,24,39,1200.0
3138,0,191049.0,71,73,42,2,1200.0
425,15,207918.0,22,11,39,33,1200.0
4259,15,232005.0,42,109,17,6,0.0
3630,15,125298.0,97,95,43,37,1200.0
2534,15,95714.0,89,66,23,34,0.0
1311,15,218518.0,93,34,48,36,7529.0
4243,1,370411.0,198,69,4,39,200.0
960,15,159148.0,65,25,27,11,1200.0
1427,15,32269.0,142,37,2,2,1200.0
1169,12,176663.0,36,72,35,1,2553.0
3389,1,115223.0,25,93,10,1,1200.0
2701,15,65732.0,97,71,43,1,0.0
4582,0,191285.0,188,115,47,39,824.0
